Relation,Visibility,Object type,Relatum type,Copular form (word list),Singular genitive (word list),Plural genitive (word list),Generalizations (list),Inverse
knows_about,public,person,entity,,,,,
interested_in,public,person,entity,be interested in,interest,interests,knows_about,
friend_of,public,person,person,be a friend of,friend,friends,likes,
roommate_of,public,person,person,be a roomate of,roommate,roomates,,
knows,public,person,person,,,,knows_about,
likes,public,person,person,,,,knows,
member_of,public,person,organization,be a member of,,,knows_about,
loves,public,person,person,,,,likes,
hates,public,person,person,,,,,
parent_of,public,person,person,be a parent of,child,children,,child_of
child_of,public,person,person,be a child of,parent,parents,,
goal,public,actor,entity,,goal,goals,,
leader,public,organization,person,be led by,leader,leaders,,
leads,public,person,organization,be leader of,,,member_of,leader
