# VerbAtlas 1.0 - SapienzaNLP - LICENSE: CC BY-SA-NC 4.0 - http://verbatlas.org
va:0001f	TOLERATE
va:0002f	OBEY
va:0003f	CARRY_TRANSPORT
va:0004f	ABSORB
va:0005f	LEARN
va:0007f	CONCENTRATE_DEDICATE
va:0008f	CO-OPT
va:0009f	SPEAK
va:0010f	TAKE
va:0011f	AUTHORIZE_ADMIT
va:0012f	RETAIN_KEEP_SAVE-MONEY
va:0014f	PERFORM
va:0015f	ACHIEVE
va:0016f	CHANGE_SWITCH
va:0017f	BEHAVE
va:0018f	INCITE_INDUCE
va:0019f	REACH-QUANTITY/QUALITY
va:0021f	SUBJECTIVE-JUDGING
va:0022f	FOLLOW_SUPPORT_SPONSOR_FUND
va:0024f	PROVE
va:0025f	AGREE_ACCEPT
va:0028f	RISE_GO-UP
va:0029f	STOP
va:0030f	MOVE-ONESELF
va:0031f	SUCCEED
va:0032f	REQUIRE_NEED_WANT_HOPE
va:0033f	FIND
va:0034f	FLOW
va:0035f	REPRIMAND
va:0036f	WORK-AS
va:0038f	GIVE-BIRTH
va:0039f	CONTAIN
va:0040f	POSSESS
va:0044f	EXHAUST
va:0045f	BELIEVE
va:0046f	BEGIN
va:0048f	DRINK
va:0049f	RELY
va:0050f	OBLIGE_FORCE
va:0051f	EAT_BITE
va:0052f	HARMONIZE
va:0053f	DISAPPEAR
va:0054f	JUMP
va:0055f	LOCK
va:0056f	ROLL
va:0057f	RESERVE
va:0058f	BREAK_DETERIORATE
va:0059f	EMIT
va:0060f	BRING
va:0061f	BULGE-OUT
va:0062f	KILL
va:0063f	DIE
va:0064f	CALCULATE_ESTIMATE
va:0065f	NAME
va:0066f	COMMUNICATE_CONTACT
va:0067f	SUMMON
va:0068f	VISIT
va:0069f	READ
va:0071f	LURE_ENTICE
va:0072f	ORDER
va:0073f	CHALLENGE_ENGAGE
va:0074f	CONSIDER
va:0076f	REMEMBER
va:0077f	RECALL
va:0078f	DISMISS_FIRE
va:0079f	CATCH
va:0080f	IMPLY
va:0081f	WIN
va:0082f	INCLUDE-AS
va:0083f	SEND
va:0084f	FUND
va:0086f	PERSUADE
