# VerbAtlas 1.0 - SapienzaNLP - LICENSE: CC BY-SA-NC 4.0 - http://verbatlas.org
va:0001p	bn:00000467n	absorbent
va:0002p	bn:00000492n	abstraction
va:0003p	bn:00000902n	acid
va:0004p	bn:00001127n	action
va:0005p	bn:00001172n	activity
va:0006p	bn:00006808n	air
va:0007p	bn:00004222n	animate_being
va:0008p	bn:00005926n	art
va:0009p	bn:00005956n	artifact
va:0010p	bn:00006747n	athlete
va:0011p	bn:00006810n	atmospheric_phenomenon
va:0012p	bn:00007129n	auditory_communication
va:0013p	bn:00007300n	authority
va:0014p	bn:00009716n	belief
va:0015p	bn:00010605n	bird
va:0016p	bn:00011744n	body
va:0017p	bn:00011766n	body_of_water
va:0018p	bn:00011769n	body_part
va:0019p	bn:00001173n	body_process
va:0020p	bn:00017345n	ceremony
va:0021p	bn:00018098n	chemical_agent
va:0022p	bn:00019982n	cloth_covering
va:0023p	bn:00006125n	clothing
va:0024p	bn:00020370n	coding_system
va:0025p	bn:00020726n	color
va:0026p	bn:00021222n	communication
va:0027p	bn:00062568n	conduit
va:0028p	bn:00022129n	container
va:0029p	bn:00021338n	contest
va:0030p	bn:00022164n	contestant
va:0031p	bn:00025144n	dance
va:0032p	bn:00026651n	determination
va:0033p	bn:00026716n	device
va:0034p	bn:00027546n	disease
va:0035p	bn:00027634n	disorder
va:0036p	bn:00026980n	education
va:0037p	bn:00031027n	entity
va:0038p	bn:00032021n	event
va:0039p	bn:00011778n	excrement
va:0040p	bn:00032400n	expressive_style
va:0041p	bn:00032645n	facility
va:0042p	bn:00033963n	feeling
va:0043p	bn:00034625n	flame
va:0044p	bn:00012321n	flora
va:0045p	bn:00035650n	food
va:0046p	bn:00037180n	game
va:0047p	bn:00037382n	gas
va:0048p	bn:00040336n	gesture
va:0049p	bn:00043415n	heat
va:0050p	bn:00044274n	hit
va:0051p	bn:00044576n	human
va:0052p	bn:00045800n	idea
va:0053p	bn:00046705n	information
va:0054p	bn:00031641n	institution
va:0055p	bn:00027356n	instructions
va:0056p	bn:00048996n	key
va:0057p	bn:00020452n	knowledge
va:0058p	bn:00049924n	language_unit
va:0059p	bn:00048655n	law
va:0060p	bn:00050371n	leader
va:0061p	bn:00051108n	light
va:0062p	bn:00051471n	liquid
va:0063p	bn:00004257n	living_thing
va:0064p	bn:00051760n	location
va:0065p	bn:00052757n	magnitude
va:0066p	bn:00053801n	material
va:0067p	bn:00053867n	matter
va:0068p	bn:01731490n	means_of_transportation
va:0069p	bn:00054128n	medicine
va:0070p	bn:00054159n	medium_of_exchange
va:0071p	bn:00055642n	monetary_unit
va:0072p	bn:00056443n	music
va:0073p	bn:00037743n	musical_genre
va:0074p	bn:00046965n	musical_instrument
va:0075p	bn:00056990n	natural_language
va:0076p	bn:00057171n	needlework
va:0077p	bn:00005659n	nobility
va:0078p	bn:00058285n	number
va:0079p	bn:00005845n	odor
va:0080p	bn:00061011n	pathological_state
va:0081p	bn:00046516n	person
va:0082p	bn:00061560n	performance
va:0083p	bn:00062164n	physical_entity
va:0084p	bn:00058442n	physical_object
va:0085p	bn:00062167n	physical_process
va:0086p	bn:00062699n	place
va:0087p	bn:00035324n	plant
va:0088p	bn:00062812n	plant_part
va:0089p	bn:00062928n	play
va:0090p	bn:00061609n	playing_period
va:0091p	bn:00010073n	position
va:0092p	bn:00059529n	prayer
va:0093p	bn:00065874n	radiation
va:0094p	bn:00066032n	rain
va:0095p	bn:00066152n	rank
va:0096p	bn:00067043n	religious_ritual
va:0097p	bn:00030952n	research
va:0098p	bn:00009396n	rhythm
va:0099p	bn:00067939n	ritual
va:0100p	bn:00069750n	score
va:0101p	bn:00071281n	shot
va:0102p	bn:00072535n	social_event
va:0103p	bn:00072536n	social_group
va:0104p	bn:00041883n	soil
va:0105p	bn:00072892n	sound
va:0106p	bn:00073248n	speech_act
va:0107p	bn:00063703n	status
va:0108p	bn:00022071n	structure
va:0109p	bn:00074985n	substance
va:0110p	bn:00075373n	surface
va:0111p	bn:00049573n	task
va:0112p	bn:00076192n	taste
va:0113p	bn:00073699n	team
va:0114p	bn:00061605n	time_period
va:0115p	bn:00077930n	trait
va:0116p	bn:00079106n	unit_of_measurement
va:0117p	bn:00079508n	value
va:0118p	bn:00079571n	vapor
va:0119p	bn:00079675n	vehicle
va:0120p	bn:00030625n	work
va:0121p	bn:00081593n	worker
va:0122p	bn:00010851n	written_communication
