# BabelNet 4.0.1 - SapienzaNLP - LICENSE: BabelNet License - https://babelnet.org
bn:00082116v	wn:00865776v
bn:00082117v	wn:02168378v
bn:00082118v	wn:02228031v
bn:00082119v	wn:02227741v
bn:00082120v	wn:02076676v
bn:00082121v	wn:00613393v
bn:00082122v	wn:00614057v
bn:00082123v	wn:01799794v
bn:00082124v	wn:01792097v
bn:00082125v	wn:00245289v
bn:00082126v	wn:00245059v
bn:00082127v	wn:00243900v
bn:00082128v	wn:00243749v
bn:00082129v	wn:02379198v
bn:00082130v	wn:01015866v
bn:00082131v	wn:01471043v
bn:00082132v	wn:01449427v
bn:00082133v	wn:02662076v
bn:00082134v	wn:02661769v
bn:00082135v	wn:02549211v
bn:00082136v	wn:01774426v
bn:00082137v	wn:02637202v
bn:00082138v	wn:00668099v
bn:00082139v	wn:02542280v
bn:00082140v	wn:02457233v
bn:00082141v	wn:00798717v
bn:00082142v	wn:01186958v
bn:00082143v	wn:00275466v
bn:00082144v	wn:00177578v
bn:00082145v	wn:02213074v
bn:00082146v	wn:01116275v
bn:00082147v	wn:00758042v
bn:00082148v	wn:02427334v
bn:00082149v	wn:00353839v
bn:00082150v	wn:00060063v
bn:00082151v	wn:00059899v
bn:00082152v	wn:02715279v
bn:00082153v	wn:02715595v
bn:00082154v	wn:02715923v
bn:00082155v	wn:01909042v
bn:00082156v	wn:00689068v
bn:00082157v	wn:01254013v
bn:00082158v	wn:01251651v
bn:00082159v	wn:01815471v
bn:00082160v	wn:00236843v
bn:00082161v	wn:02478584v
bn:00082162v	wn:01255355v
bn:00082163v	wn:01255222v
bn:00082164v	wn:02073714v
bn:00082165v	wn:01923058v
bn:00082166v	wn:00421535v
bn:00082167v	wn:00903711v
bn:00082168v	wn:00902424v
bn:00082169v	wn:01539633v
bn:00082170v	wn:00602255v
bn:00082171v	wn:02216560v
bn:00082172v	wn:01539063v
bn:00082173v	wn:00395698v
bn:00082174v	wn:02765464v
bn:00082175v	wn:00601043v
bn:00082176v	wn:01470524v
bn:00082177v	wn:00600370v
bn:00082178v	wn:02463426v
bn:00082179v	wn:01196037v
bn:00082180v	wn:00692329v
bn:00082181v	wn:02276866v
bn:00082182v	wn:00734587v
bn:00082183v	wn:01008288v
bn:00082184v	wn:02516594v
bn:00082185v	wn:00203213v
bn:00082186v	wn:00845299v
bn:00082187v	wn:00203556v
bn:00082188v	wn:01466978v
bn:00082189v	wn:02520509v
bn:00082190v	wn:00878348v
bn:00082191v	wn:02381397v
bn:00082192v	wn:00804139v
bn:00082193v	wn:00438178v
bn:00082194v	wn:00439343v
bn:00082195v	wn:01013367v
bn:00082196v	wn:00983333v
bn:00082197v	wn:00686447v
bn:00082198v	wn:02236124v
bn:00082199v	wn:00797697v
bn:00082200v	wn:00719231v
bn:00082201v	wn:02236624v
bn:00082202v	wn:02301825v
bn:00082203v	wn:00668805v
bn:00082204v	wn:02741546v
bn:00082205v	wn:02210622v
bn:00082206v	wn:02209936v
bn:00082207v	wn:00718489v
bn:00082208v	wn:02248808v
bn:00082209v	wn:02007417v
bn:00082210v	wn:00999568v
bn:00082211v	wn:00861725v
bn:00082212v	wn:00861929v
bn:00082213v	wn:00393677v
bn:00082214v	wn:02702830v
bn:00082215v	wn:00299580v
bn:00082216v	wn:01184453v
bn:00082217v	wn:02732798v
bn:00082218v	wn:02651424v
bn:00082219v	wn:00885925v
bn:00082220v	wn:00482893v
bn:00082221v	wn:02716165v
bn:00082222v	wn:02025550v
bn:00082223v	wn:01728355v
bn:00082224v	wn:02716767v
bn:00082225v	wn:01640855v
bn:00082226v	wn:02526085v
bn:00082227v	wn:02700104v
bn:00082228v	wn:02255268v
bn:00082229v	wn:00990655v
bn:00082230v	wn:00781652v
bn:00082231v	wn:02607432v
bn:00082232v	wn:02265231v
bn:00082233v	wn:00965035v
bn:00082234v	wn:00867644v
bn:00082235v	wn:02635033v
bn:00082236v	wn:00939621v
bn:00082237v	wn:02342016v
bn:00082238v	wn:02475535v
bn:00082239v	wn:02475772v
bn:00082240v	wn:00727791v
bn:00082241v	wn:00396325v
bn:00082242v	wn:00159368v
bn:00082243v	wn:00155869v
bn:00082244v	wn:02230056v
bn:00082245v	wn:00159880v
bn:00082246v	wn:02304982v
bn:00082247v	wn:00158804v
bn:00082248v	wn:00864910v
bn:00082249v	wn:00842989v
bn:00082250v	wn:00843468v
bn:00082251v	wn:00273445v
bn:00082252v	wn:02522581v
bn:00082253v	wn:01113367v
bn:00082254v	wn:01085130v
bn:00082255v	wn:01077759v
bn:00082256v	wn:01773535v
bn:00082257v	wn:00270440v
bn:00082258v	wn:02196690v
bn:00082259v	wn:00264875v
bn:00082260v	wn:00524299v
bn:00082261v	wn:00524083v
bn:00082262v	wn:02121511v
bn:00082263v	wn:01805684v
bn:00082264v	wn:02122164v
bn:00082265v	wn:00524530v
bn:00082266v	wn:01537271v
bn:00082267v	wn:00817311v
bn:00082268v	wn:00892698v
bn:00082269v	wn:01059123v
bn:00082270v	wn:00892467v
bn:00082271v	wn:00740449v
bn:00082272v	wn:00592883v
bn:00082273v	wn:00901103v
bn:00082274v	wn:00874175v
bn:00082275v	wn:00832778v
bn:00082276v	wn:02210855v
bn:00082277v	wn:00524682v
bn:00082278v	wn:00094460v
bn:00082279v	wn:02695378v
bn:00082280v	wn:02288295v
bn:00082281v	wn:00597915v
bn:00082282v	wn:00545557v
bn:00082283v	wn:00904046v
bn:00082284v	wn:02518161v
