,seed,actions
0,3943420000,"[3, 3, 3, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 1, 3, 0, 3, 0, 2, 2, 2, 2, 1, 3, 3, 1, 3, 0]"
1,3943420001,"[3, 0, 2, 1, 0, 3, 1, 3, 0, 0, 0, 2, 1, 0, 1, 3, 1, 1, 2, 2, 0, 2, 1, 3, 3, 0, 1, 2, 2, 0, 3, 3, 3, 0, 0, 2, 1, 0, 1, 3, 1, 1, 2, 2, 0, 3, 1, 3, 0]"
2,3943420002,"[2, 1, 3, 2, 1, 3, 2, 0, 3, 0, 3, 3, 1, 2, 0, 2, 2, 1, 3, 3]"
3,3943420003,[]
4,3943420004,"[3, 0, 0, 2, 0, 0, 3]"
5,3943420005,"[2, 1, 3, 2, 0, 3, 3, 1, 1, 1, 2, 0, 3, 2, 1, 2, 0, 3, 2, 1, 3, 3, 0, 0, 0, 2, 2, 1, 0, 3, 1, 2, 3, 0, 3, 1, 1, 1, 2, 2, 0, 3, 2, 3, 0, 0, 2, 1, 3, 1, 1, 3, 0]"
6,3943420006,"[0, 0, 2, 0, 3, 0, 2, 0, 2, 2, 1, 3, 2, 0, 3, 3, 1, 3, 1, 1, 1, 1, 2, 0, 1, 3, 0, 2, 2, 0, 3, 0, 3, 1, 2, 0, 3, 0, 2, 3, 2, 1, 1, 2, 1, 3, 1, 3, 0, 0, 2, 0, 0, 0, 2, 2, 1, 3, 2, 0, 3, 3, 1, 1, 1, 2, 1, 3, 1, 3, 0]"
7,3943420007,"[3, 3, 1, 3, 0, 0, 3, 1, 3, 0, 2, 2, 2, 1, 1, 2]"
8,3943420008,"[0, 2, 3, 1, 1, 1, 2, 0, 0, 2, 2, 0, 0, 3, 1, 2, 1, 3, 2, 3, 0, 3, 3, 1, 1, 1, 2, 2, 0, 3, 2, 1, 3, 3, 0, 0, 0, 2, 1, 3, 0, 2, 2, 1, 2, 3, 0, 3, 3, 1, 1, 1, 2, 2, 0, 3, 2, 3, 0, 3, 0, 2, 2, 1, 2, 3, 0, 3, 3, 1, 2, 1, 1, 3, 0, 1, 2, 2, 0, 3, 0, 0, 2, 1, 2, 3, 0, 3, 3, 1, 0, 1, 2, 1, 1, 2, 0, 3, 2, 1, 3, 3, 0, 1, 2, 0, 2, 0]"
9,3943420009,"[3, 1, 2, 1, 2, 3, 0, 3, 1, 2, 1, 1, 3, 0, 2, 3, 1, 1, 2, 3, 0, 0, 0, 2, 2, 1, 3, 3, 1, 1, 2, 2, 3, 3, 0, 0, 2, 2, 0, 3, 0, 0, 3, 1, 1, 1]"
10,3943420010,[]
